Cod_Matricula;Situacao_Matricula;Forma_Ingresso;Semestre_Letivo_Inicial;Desc_Curso;Modalidade;Instituicao;Desc_Disciplina;Quantidade_Reprovacoes
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Química;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia;3
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;História;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Geografia;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Filosofia / sociologia;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Inglês;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Segurança, meio ambiente e saúde;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Informática;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Desenho técnico;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Metrologia;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Física;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Química;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia 2;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;História;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Geografia;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Educação física;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Filosofia / sociologia;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Artes;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Inglês;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Elementos de máquinas e resistência de materiais;1
7818;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;1
7818;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Inglês;1
7278;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Física;6
7278;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;5
7278;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;5
7278;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Física;5
7278;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Química;5
7278;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia 2;5
7278;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;História;5
7278;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Geografia;5
7278;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Educação física;5
7278;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Filosofia / sociologia;5
7278;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Artes;5
7278;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Inglês;5
7278;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Eletricidade;5
7278;Evadido;Ampla Concorrência;2019/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Elementos de máquinas e resistência de materiais;5
